#Coefficents for differents frequencies (Table8 - Atkinson and Boore, 2006)
           f(Hz)          T(sec)              c1              c2              c3              c4              c5              c6              c7              c8              c9             c10
          -0.361          -0.641          -0.144
         -0.3524         -0.6363         -0.1359
         -0.3491         -0.6345         -0.1328
         -0.3416         -0.6304         -0.1259
         -0.3352         -0.6268         -0.1198
         -0.3318          -0.625         -0.1167
         -0.3233          -0.619         -0.1092
          -0.314          -0.609          -0.105
          -0.286          -0.643          -0.105
         -0.2407         -0.6396         -0.1109
           -0.25          -0.595          -0.132
         -0.2701         -0.5439         -0.1627
          -0.306          -0.521          -0.185
         -0.4358         -0.5138          -0.135
            -0.5          -0.508          -0.095
            -0.6          -0.495           -0.06
         -0.6583         -0.4825        -0.03583
         -0.6814         -0.4714        -0.01443
         -0.6917         -0.4608       -0.001667
         -0.6963         -0.4493      -0.0007407
            -0.7           -0.44              -0
         -0.7117         -0.4197               0
         -0.7234         -0.3995               0
           -0.73          -0.375              -0
         -0.7356           -0.35               0
         -0.7393         -0.3333               0
         -0.7424         -0.3202               0
          -0.745           -0.31              -0
         -0.7489         -0.3044               0
          -0.752            -0.3               0
