#Coefficents for differents frequencies (Table6 - Atkinson and Boore, 2006)
           f(Hz)          T(sec)              c1              c2              c3              c4              c5              c6              c7              c8              c9             c10
           0.907           0.983          -0.066            -2.7           0.159            -2.8           0.212          -0.301         -0.0653       -0.000448
           1.077          0.9766        -0.06531          -2.731          0.1554          -3.036          0.2187         -0.3991        -0.06244       -0.000337
           1.143          0.9742        -0.06504          -2.742           0.154          -3.127          0.2212         -0.4368        -0.06134      -0.0002943
            1.29          0.9686        -0.06444          -2.769          0.1509          -3.331           0.227         -0.5216        -0.05886      -0.0001983
           1.418          0.9638        -0.06392          -2.792          0.1482          -3.508           0.232         -0.5952        -0.05672      -0.0001151
           1.484          0.9613        -0.06364          -2.804          0.1468          -3.601          0.2346         -0.6335         -0.0556      -7.166e-05
           1.455          0.9592        -0.06293          -2.729          0.1411          -3.715          0.2344         -0.5638        -0.06272      -3.533e-05
           1.254          0.9682        -0.06229          -2.576          0.1318           -3.63          0.2275         -0.3428        -0.08196      -0.0001305
            1.11           0.972          -0.062           -2.47           0.128           -3.39           0.214          -0.139         -0.0984       -0.000317
          0.8034          0.9883        -0.06244          -2.311          0.1255          -2.735          0.1778          0.1593          -0.119      -0.0007101
            0.48            1.02          -0.064            -2.2           0.127           -2.01           0.133           0.337          -0.127        -0.00105
         0.03249           1.085        -0.06902          -2.135            0.13          -1.454         0.09396          0.4951         -0.1371       -0.001165
          -0.615            1.23         -0.0789           -2.09           0.131           -1.12          0.0679           0.606          -0.146        -0.00113
           -1.62           1.457         -0.0957           -2.08          0.1375         -0.9027         0.04997          0.6107         -0.1397      -0.0009717
           -2.44            1.65          -0.108           -2.05           0.136          -0.843          0.0448           0.739          -0.156       -0.000851
           -3.22            1.83           -0.12           -2.02           0.134          -0.813          0.0444           0.884          -0.175        -0.00077
          -3.803           1.963         -0.1292          -2.045          0.1407         -0.7872         0.04323           0.804         -0.1617      -0.0007075
          -4.309            2.07         -0.1367          -2.056          0.1449         -0.7906         0.04329          0.7806         -0.1573      -0.0006287
          -4.712           2.152         -0.1422          -2.062          0.1475         -0.7997         0.04403          0.7835          -0.157      -0.0005635
          -5.022           2.212         -0.1454          -2.066          0.1489         -0.8071         0.04551          0.8071         -0.1598      -0.0005204
           -5.27            2.26          -0.148           -2.07            0.15          -0.813          0.0467           0.826          -0.162       -0.000486
          -5.645            2.31         -0.1505          -2.095          0.1558         -0.8188         0.05103           0.851         -0.1653      -0.0004418
          -5.971           2.336         -0.1502          -2.147          0.1641         -0.8592         0.05865           0.907         -0.1715      -0.0003875
           -6.18             2.3          -0.144           -2.22           0.177          -0.937          0.0707           0.952          -0.177       -0.000322
           -6.17            2.21          -0.135            -2.3            0.19          -0.986          0.0786           0.968          -0.177       -0.000282
          -6.062           2.102         -0.1242          -2.358          0.1983          -1.056         0.08768          0.9947         -0.1795      -0.0002395
          -5.918           2.002         -0.1147          -2.404          0.2054          -1.114         0.09562           1.005          -0.181      -0.0002163
           -5.79            1.92          -0.107           -2.44           0.211           -1.16           0.102            1.01          -0.182       -0.000201
          -5.579           1.803        -0.09761          -2.496          0.2199          -1.221          0.1098          0.9928         -0.1792      -0.0001871
           -5.41            1.71         -0.0901           -2.54           0.227           -1.27           0.116           0.979          -0.177       -0.000176
